supervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0
metal_nut,0.7565302306537877,0.7066148036104158,0.8608695652173913
pill,0.5449668339388636,0.37339832657012695,0.5666666666666667
screw,0.41286112956102977,0.27887728726069533,0.5625
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3546810356476507,0.15491108071135432,0.48
zipper,0.5755337416116476,0.4939373347003237,0.6444444444444445
carpet,0.7702498427051017,0.6931411116336136,0.811965811965812
grid,0.6941472214382046,0.6530922707857937,0.7435897435897437
leather,0.7919584583351552,0.7428649853233966,0.8548387096774194
tile,0.8950806205191555,0.8718118110434934,0.9487179487179487
wood,0.7590376462713354,0.6505842988783704,0.8529411764705882
MVTec(object),0.5465650570776274,0.41149718408961766,0.6406518010291595
MVTec(texture),0.791278881447278,0.7349120626554441,0.8492063492063492
---,---,---,---
TAU=1.5
bottle,0.5986300317927391,0.46354859484153166,0.6987951807228916
cable,0.8268743970547697,0.6801240536232852,0.8057553956834532
capsule,0.29354960877847874,0.1467665533930594,0.4393939393939394
hazelnut,0.862675140998092,0.8731652345926686,0.9454545454545454
metal_nut,0.8392417480918863,0.8023531592185025,0.9130434782608695
pill,0.5395118077528206,0.3511807622387992,0.54
screw,0.39175396572234417,0.24642197073496303,0.50625
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.5066696756203197,0.30758830936443765,0.56
zipper,0.5604383113828192,0.44013395274242045,0.6
carpet,0.7642378409915531,0.6948143516881649,0.7863247863247863
grid,0.6481600446169653,0.5531755582297099,0.6923076923076923
leather,0.8615653098167683,0.8424900478721566,0.9193548387096774
tile,0.8917893275900828,0.8645765527270828,0.9230769230769231
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.5777724951115635,0.44825086391122326,0.6526586620926244
MVTec(texture),0.8013924592721139,0.747622283349772,0.8472222222222222
---,---,---,---
TAU=2
bottle,0.680061024633489,0.5635616782199487,0.7590361445783133
cable,0.8532369254994936,0.7641117075079692,0.8489208633093525
capsule,0.2804949847128343,0.1367362192446667,0.4166666666666667
hazelnut,0.9137661598942114,0.9249580725504887,0.9636363636363636
metal_nut,0.8177221042427001,0.7849192059329467,0.9043478260869565
pill,0.5535284930848356,0.32984404009978957,0.5133333333333333
screw,0.4300417526067422,0.30972564442929024,0.60625
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.5762199355318607,0.37522275668940014,0.61
zipper,0.5654328847939785,0.48176644504739397,0.6370370370370371
carpet,0.7416697411615721,0.6656397485271329,0.7863247863247863
grid,0.7100826647429637,0.6560580681183696,0.7564102564102565
leather,0.8203557309884459,0.7746575195495473,0.8629032258064516
tile,0.9460515057416965,0.9287616795775376,0.9743589743589743
wood,0.7590376462713354,0.6505842988783704,0.8529411764705882
MVTec(object),0.6015315419570325,0.4839760645237633,0.6792452830188679
MVTec(texture),0.8059295720766899,0.7500292879947468,0.8531746031746031
---,---,---,---
TAU=2.5
bottle,0.6778990065251086,0.5553954680518066,0.7349397590361445
cable,0.8532369254994936,0.7641117075079692,0.8489208633093525
capsule,0.40819700789640584,0.2501994696201109,0.5151515151515151
hazelnut,0.8911837809007597,0.9098552946990147,0.9545454545454546
metal_nut,0.8293192222943383,0.8027038962631194,0.9130434782608695
pill,0.5062375656150622,0.29193569205411646,0.4933333333333334
screw,0.4189741998245058,0.2515996520715245,0.55
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.5512032968525477,0.5388271458973752,0.79
zipper,0.5670341700927912,0.47454487810575846,0.5851851851851851
carpet,0.708297798423676,0.6406471134957014,0.7777777777777778
grid,0.6096081020240837,0.5394444214219607,0.6282051282051282
leather,0.8316967273184795,0.7920267168256472,0.8790322580645161
tile,0.8962183667798189,0.8725007744822694,0.9316239316239316
wood,0.6377006611517124,0.47005546584287017,0.7058823529411765
