supervised
Category,NMI,ARI,F1
transistor,0.6346077299451727,0.5400107728891049,0.7699999999999999
zipper,0.6957028295544171,0.5756321878774703,0.6814814814814815
carpet,0.6284836944843792,0.5334010345593603,0.7606837606837606
grid,0.16295106334638879,0.030280581535327346,0.3333333333333333
leather,0.7753550435269141,0.6789196696884643,0.7419354838709677
tile,0.8934009428106969,0.8935981786803775,0.9487179487179487
wood,0.7618503667531289,0.5583445046815985,0.8088235294117648
MVTec(object),0.5612686361217801,0.419165756683352,0.6226415094339622
MVTec(texture),0.6720645552402627,0.5783219418026252,0.7400793650793651
---,---,---,---
TAU=2.5
bottle,0.5447058729828742,0.3983900587757412,0.6385542168674698
cable,0.6968942108482501,0.4750812322858316,0.6402877697841727
capsule,0.2854923554705489,0.1548958740604579,0.4621212121212121
hazelnut,0.9240206650249699,0.9345482491373812,0.9636363636363636
metal_nut,0.6479441920620848,0.5085856174868463,0.6347826086956522
pill,0.37653754706895465,0.1776272792035211,0.44
screw,0.32877262238740007,0.18232933898180723,0.4375
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.8203708280980775,0.8609411056486405,0.9
zipper,0.7541205691314891,0.6045992126046625,0.6888888888888889
carpet,0.5779386266570014,0.5029328748126463,0.7435897435897437
grid,0.13091679249978125,0.039547048341668105,0.32051282051282054
leather,0.7788655714689334,0.6884407135664625,0.7419354838709677
tile,0.8778471739164222,0.822175225300933,0.8376068376068376
wood,0.7675702821410646,0.5405574317251831,0.8088235294117648
MVTec(object),0.5641673031790015,0.4322843717530192,0.6226415094339622
MVTec(texture),0.6533979335909001,0.5560453796101046,0.7083333333333334
---,---,---,---
TAU=3
bottle,0.6299449276598155,0.5362530524890934,0.7951807228915663
cable,0.6994973460680771,0.5697453529842924,0.762589928057554
capsule,0.2622808562254961,0.12935504086391014,0.4393939393939394
hazelnut,0.8754550650346444,0.8757548847701684,0.9181818181818182
metal_nut,0.6215016309758413,0.49336788207539445,0.7217391304347827
pill,0.37461190787596965,0.15987740621530258,0.41999999999999993
screw,0.3461447081895398,0.1722505925508436,0.425
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.6741848870341095,0.6655902447253317,0.8599999999999999
zipper,0.6805664811837069,0.5213496589039678,0.6666666666666666
carpet,0.5489736920209495,0.4557606984896863,0.6581196581196581
grid,0.11456668946506239,0.01003895484010039,0.2948717948717949
leather,0.7621649828445858,0.6800181545496106,0.7338709677419355
