unsupervised
Category,NMI,ARI,F1
---,---,---,---
TAU=0
metal_nut,0.4690752541775102,0.2825588980765994,0.5217391304347826
pill,0.5095670402336879,0.34091036259948915,0.5533333333333333
screw,0.03554595950188643,-0.015868024069625255,0.2125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.3841899181104888,0.1346084972608736,0.45
zipper,0.4908143020427681,0.29165871832057383,0.45925925925925926
carpet,0.7791510373316365,0.7072009396706213,0.8034188034188035
grid,0.6566773467576953,0.6159823706796567,0.7307692307692306
leather,0.792916694816608,0.724132278049176,0.7983870967741935
tile,0.9111858844266355,0.884759254127207,0.9316239316239316
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.4011609778127663,0.2293764170285465,0.4725557461406518
MVTec(texture),0.7937856386939858,0.7357833444029628,0.8293650793650794
---,---,---,---
TAU=1.5
bottle,0.5674741872111739,0.45481786515630873,0.7228915662650603
cable,0.7059761252347685,0.5462016577496502,0.7338129496402878
capsule,0.17702744053983394,0.05107375085840039,0.29545454545454547
hazelnut,0.528542003529389,0.4184990876337897,0.6636363636363637
metal_nut,0.6341246595194774,0.5376170768709427,0.7217391304347827
pill,0.49860191118330943,0.3113223625052912,0.5266666666666666
screw,0.037000080987106915,-0.008264177725514384,0.23125
toothbrush,0.21361274510346673,-0.007733044721122944,0.5952380952380952
transistor,0.39409710410753607,0.218118764476766,0.55
zipper,0.4964642105668501,0.36517582006163063,0.5333333333333333
carpet,0.789502396424356,0.7252980151910497,0.811965811965812
grid,0.5606822726471558,0.4777786643261789,0.6153846153846154
leather,0.8126669601245378,0.771689171916059,0.8709677419354839
tile,0.9158106618740766,0.8933571889849046,0.9401709401709402
wood,0.7758241007601678,0.6873005222593573,0.8676470588235294
MVTec(object),0.42519470934601067,0.295400018907187,0.5360205831903945
MVTec(texture),0.7872650535605732,0.7322922371770957,0.8333333333333334
---,---,---,---
TAU=2
bottle,0.5777763381836883,0.4600798039212498,0.6867469879518072
cable,0.7261313667287492,0.5638312894107731,0.7410071942446043
capsule,0.19711162098920912,0.07258578517844315,0.32575757575757575
hazelnut,0.4491283646743166,0.22659854945865962,0.5909090909090909
metal_nut,0.6291570281806166,0.5177737140779228,0.6869565217391305
pill,0.4853171030985192,0.2845550325505666,0.5533333333333333
screw,0.026304031350167005,-0.016102555619196327,0.21875
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.5426627079753147,0.5422426292895118,0.78
zipper,0.48542095265111485,0.28307547651110226,0.4962962962962963
carpet,0.6595611221932399,0.5338685786018148,0.6495726495726496
grid,0.5558471898166611,0.4737181471164758,0.6538461538461539
leather,0.8327122436958875,0.8004826009039544,0.8870967741935484
tile,0.9464746634682721,0.9298488012878761,0.9743589743589743
wood,0.687876371672868,0.559991950171969,0.8088235294117648
MVTec(object),0.4297007186809829,0.2924697980212769,0.5428816466552315
MVTec(texture),0.7565360698812333,0.6856036588213555,0.8055555555555556
---,---,---,---
TAU=2.5
bottle,0.5777763381836883,0.4600798039212498,0.6867469879518072
cable,0.7094585101255791,0.5596443211186931,0.7050359712230215
capsule,0.18133052386196097,0.07391335266471655,0.3106060606060606
hazelnut,0.4308534837439587,0.20921239174858708,0.5727272727272728
metal_nut,0.6257721059227391,0.513447852822135,0.6869565217391305
pill,0.44679839096666646,0.24540122359082966,0.4533333333333333
screw,0.03330544946510688,-0.01308562936687035,0.21875
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.5594858702546451,0.6510171366082191,0.78
zipper,0.5083301793712238,0.35048682642751894,0.5333333333333333
carpet,0.708297798423676,0.6406471134957014,0.7777777777777778
grid,0.5193937478337459,0.4415620641562064,0.6410256410256411
leather,0.8316967273184795,0.7920267168256472,0.8790322580645161
tile,0.9333195605555149,0.9076339875264018,0.9658119658119658
wood,0.6131542542754639,0.43392065239112404,0.6617647058823529
MVTec(object),0.42396945544181275,0.3025649255942306,0.5265866209262435
MVTec(texture),0.7488230690671043,0.6811679505411644,0.8095238095238095
---,---,---,---
TAU=3
bottle,0.6286424950219608,0.5099895869850521,0.7469879518072289
cable,0.7829824904981446,0.6339778174096863,0.7985611510791367
capsule,0.18190380915539103,0.06456288648867523,0.3333333333333333
hazelnut,0.42340781459373167,0.20080392833680366,0.5727272727272728
metal_nut,0.6669654858254641,0.5567866588209429,0.7043478260869566
pill,0.4126192764815005,0.16350347685442193,0.48
screw,0.03330544946510688,-0.01308562936687035,0.21875
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.4066985196728184,0.30730045243813886,0.68
zipper,0.5022687760601607,0.3610886887709146,0.5259259259259259
carpet,0.7019046209482371,0.6344315672754527,0.7777777777777778
grid,0.4332061769418977,0.2796379696712573,0.5384615384615384
leather,0.8527903254971524,0.7602454692081216,0.75
tile,0.926376091220062,0.9067081226276906,0.9658119658119658
wood,0.621765976317589,0.44783058989444924,0.6911764705882353
MVTec(object),0.42157813584698706,0.2786151478471999,0.5403087478559176
MVTec(texture),0.738740102929369,0.6485079834278878,0.7658730158730159
---,---,---,---
TAU=4
bottle,0.6168993689403865,0.508250652384186,0.6506024096385542
cable,0.7697255190123717,0.6827583700236601,0.7266187050359713
capsule,0.19827951378733877,0.04247320506394253,0.32575757575757575
hazelnut,0.5277171646002272,0.3646091760319415,0.6272727272727273
metal_nut,0.6552452846557281,0.5543622612659338,0.7130434782608696
pill,0.3749416584819106,0.16584879497440172,0.42666666666666675
screw,0.03789524057980622,-0.013992441417950696,0.225
toothbrush,0.18007427918395055,-0.05087685488533436,0.5476190476190477
transistor,0.4678595262547904,0.35634902923454587,0.72
zipper,0.5671187294275584,0.4194913293825208,0.5555555555555556
carpet,0.6547710547095531,0.5514727806918911,0.7264957264957265
grid,0.23825118697502967,0.10011250082721196,0.37179487179487186
leather,0.7170870418997001,0.6467444938640793,0.7822580645161291
tile,0.8405903999723714,0.8191642635429802,0.8974358974358975
wood,0.6097067377203184,0.42352216761386047,0.6911764705882353
MVTec(object),0.43823677059615374,0.3081657660059276,0.5308747855917667
MVTec(texture),0.6426978852031389,0.5499387576922437,0.7202380952380952
---,---,---,---
TAU=8
bottle,0.5107241323904157,0.42344136236134455,0.6385542168674698
cable,0.627645235107798,0.36022413167736045,0.5467625899280576
capsule,0.1701289470798454,0.04300454152230494,0.29545454545454547
hazelnut,0.4086598768486638,0.2325886118596386,0.5272727272727272
metal_nut,0.5617208709058532,0.4046888723077126,0.6086956521739131
pill,0.3861738468843952,0.18605159150477082,0.35333333333333333
screw,0.026409120018282793,-0.015375079011870843,0.21875
toothbrush,0.23161548406865165,0.019319227230910764,0.6190476190476191
transistor,0.42578172673900283,0.3243783081993409,0.7100000000000001
zipper,0.5726956114259739,0.4206732612529714,0.6444444444444445
carpet,0.552251198870937,0.4468442275283108,0.5555555555555556
grid,0.13537889472020487,0.01723037651563497,0.3076923076923077
leather,0.8528397882517905,0.7513556796709746,0.7580645161290323
tile,0.9100192656109143,0.8825348536780462,0.9487179487179487
wood,0.4272131938039569,0.23072557711999717,0.5441176470588235
MVTec(object),0.388860861983987,0.23885523944822978,0.48713550600343053
MVTec(texture),0.6278726766953248,0.5272594551442936,0.6567460317460317
---,---,---,---
TAU=10
bottle,0.549400453449565,0.468474530020354,0.6506024096385542
cable,0.6490682178336195,0.32537252988251586,0.5323741007194245
capsule,0.18435191423904523,0.0477029504275566,0.3181818181818182
hazelnut,0.34859665241464866,0.20028609620983995,0.509090909090909
metal_nut,0.5272101693308722,0.42140023715820457,0.6260869565217392
pill,0.38477487162584784,0.20433828410167776,0.4000000000000001
screw,0.030074876820102098,-0.014704325602262359,0.225
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.4381777607500598,0.32657545191251375,0.7100000000000001
zipper,0.5080837897291406,0.373143161082573,0.6222222222222222
carpet,0.5706109532168984,0.39863486292985123,0.6239316239316239
grid,0.16040929236669807,0.03567787971457696,0.2948717948717949
leather,0.8067877265445698,0.7143860751369496,0.7419354838709677
tile,0.8344203377649261,0.7686143701218661,0.8290598290598291
wood,0.3978092405167939,0.19204185106367688,0.5147058823529411
MVTec(object),0.3812984807745829,0.2352745709752435,0.4939965694682676
MVTec(texture),0.603161294238382,0.47816221046448354,0.6349206349206349
---,---,---,---
TAU=12
bottle,0.6125671231006222,0.5498523185479208,0.8072289156626506
cable,0.6216079369457509,0.35498880348045775,0.5035971223021583
capsule,0.21189363445372425,0.0671523531757722,0.3409090909090909
hazelnut,0.3412369655530971,0.18355778747867724,0.5
metal_nut,0.5391687112749569,0.41193805268000794,0.6
pill,0.3774475875324737,0.20177531767373444,0.3933333333333333
screw,0.025986564876693503,-0.017510343690545042,0.21875
toothbrush,0.2506370482435142,0.05001838911364472,0.6428571428571429
transistor,0.4381777607500598,0.32657545191251375,0.7100000000000001
zipper,0.5396067004617575,0.38870669006672504,0.6296296296296297
carpet,0.6574613237557794,0.5463557709491921,0.6666666666666666
grid,0.14356370230199214,0.020065025545750115,0.2948717948717949
leather,0.8795884254263443,0.8032154238436764,0.7983870967741935
tile,0.833000011086463,0.7626686792444533,0.8290598290598291
wood,0.4277783010415345,0.17955283803884953,0.4558823529411764
MVTec(object),0.3882705209107001,0.2453755512666584,0.5
MVTec(texture),0.6423409408329143,0.5288278535882592,0.6507936507936508
---,---,---,---
TAU=14
bottle,0.6989990276140654,0.6134412366216472,0.8433734939759037
cable,0.6160479059558265,0.35380476700644986,0.5035971223021583
capsule,0.28127617735652005,0.08004444462989534,0.3409090909090909
hazelnut,0.3286492997554182,0.16896063769115088,0.5
metal_nut,0.5564416924044616,0.46612845387680873,0.6347826086956522
pill,0.36077155482286727,0.2059550783928066,0.41999999999999993
screw,0.03352274969791876,-0.016644057445775413,0.21875
toothbrush,0.23161548406865165,0.019319227230910764,0.6190476190476191
transistor,0.4381777607500598,0.32657545191251375,0.7100000000000001
zipper,0.5804420568385361,0.46674496524258646,0.6814814814814815
carpet,0.6778479743941652,0.5696531717490753,0.6752136752136753
grid,0.14356370230199214,0.020065025545750115,0.2948717948717949
leather,0.851483482118965,0.7795873723229433,0.7822580645161291
tile,0.8909414028210734,0.8806157095893781,0.9487179487179487
wood,0.38812219395952,0.16637408632728762,0.4558823529411764
MVTec(object),0.40506254587022805,0.26377403936260274,0.5145797598627787
MVTec(texture),0.6482591009637645,0.5540254030703732,0.6765873015873016
---,---,---,---
TAU=18
bottle,0.46674410483402873,0.27404250420762505,0.5542168674698795
cable,0.5575617261992587,0.33600959582990164,0.5107913669064749
capsule,0.2533792741207681,0.06565663585578857,0.3409090909090909
hazelnut,0.3636149826116426,0.23890270151481158,0.45454545454545453
